bssid,rss
72:5d:cc:4c:9f:ac,-88000
2c:56:dc:84:e6:ac,-87000
8a:36:6c:52:77:20,-87000
d8:c7:c8:de:39:b1,-86001
d8:c7:c8:de:39:b0,-86000
70:5d:cc:e3:01:36,-86000
24:de:c6:e3:40:f1,-86000
d8:c7:c8:df:19:50,-85000
24:de:c6:e3:40:f0,-85000
d8:c7:c8:df:19:51,-83000
24:de:c6:ec:60:61,-82000
70:5d:cc:dc:82:05,-82000
58:86:94:4a:1a:e0,-82000
58:86:94:0e:d5:80,-81000
16:18:c3:9e:8f:c2,-81000
90:9f:33:d7:ac:f8,-81000
24:de:c6:ec:65:11,-80997
70:5d:cc:82:c9:9e,-80000
24:de:c6:ec:65:10,-79998
8a:4f:c1:3a:a1:10,-78999
88:1f:a1:3a:c1:4f,-78999
d4:5d:64:a0:6c:c0,-78003
58:86:94:29:56:f4,-78000
64:a5:c3:63:df:67,-78000
d8:c7:c8:df:02:91,-77001
8a:36:6c:cd:18:74,-77000
d8:c7:c8:df:02:90,-76002
64:e5:99:32:fc:38,-74001
88:36:6c:ad:18:74,-74000
24:de:c6:e3:40:e0,-73000
da:9c:67:d2:04:51,-72999
70:5d:cc:82:c9:9c,-71999
60:38:e0:c4:e8:9a,-71000
60:38:e0:c4:e8:9b,-71000
16:cb:19:13:57:4c,-71000
88:36:6c:a2:50:7a,-70000
24:de:c6:ec:59:91,-69000
2c:56:dc:84:e6:a8,-69000
24:de:c6:ec:59:90,-69000
24:de:c6:ec:65:01,-67000
d8:c7:c8:df:21:70,-66997
d8:c7:c8:df:21:71,-66997
72:5d:cc:c2:c9:9c,-65001
60:38:e0:c4:e8:99,-65000
60:38:e0:c4:e8:9c,-65000
16:cb:19:13:89:25,-63998
64:a5:c3:63:df:66,-62001
24:de:c6:ec:59:80,-62000
24:de:c6:ec:59:81,-62000
58:86:94:0e:d5:82,-59004
88:1f:a1:3a:c1:4e,-57000
8a:4e:c1:3a:a1:10,-55000
24:de:c6:e3:40:91,-54999
24:de:c6:e3:40:90,-53999
90:9f:33:a9:09:42,-51000
90:9f:33:a8:09:42,-49999
24:de:c6:e3:40:81,-46001
24:de:c6:e3:40:80,-45002
