timestamp,ssid,bssid,frequency,rss,wifiNo,legit
2313739484321,sungju5G,88:36:6c:ad:18:74,5765,-52,0,false
2313739182402,DIRECT-72-HP M479dw Color LJ,3a:ca:84:36:96:72,2422,-82,0,false
2313739354058,SGVR,70:5d:cc:e3:01:36,2432,-79,0,false
2313739066316,Welcome_KAIST,d8:c7:c8:df:02:91,5180,-73,0,false
2313739066125,eduroam,d8:c7:c8:df:02:90,5180,-73,0,false
2313739876140,LOD2,8a:4e:c1:3a:a1:10,2462,-48,0,false
2313739581577,maengsr의 Wi-Fi 네트워크,64:a5:c3:63:df:67,5785,-75,0,false
2313739904282,maengsr의 Wi-Fi 네트워크,64:a5:c3:63:df:66,2462,-66,0,false
2313739575201,LOD2,8a:4f:c1:3a:a1:10,5785,-66,0,false
2313739067958,Lee2435_5G-2,70:5d:cc:dc:82:07,5180,-66,0,false
2313739473665,DIRECT-4C-HP ,16:cb:19:13:57:4c,2437,-82,0,false
2313739093139,sungju,8a:36:6c:cd:18:74,2417,-46,0,false
2313739408866,Lee2435_5G-1,70:5d:cc:dc:82:09,5745,-59,0,false
2313739749593,SWTV2438,d4:5d:64:a0:6c:c0,2452,-71,0,false
2313739496510,DIRECT-TvDESKTOP-D7VMR5Nms9y,16:18:c3:9e:8f:c2,2437,-80,0,false
2313739911747,Lee2435,70:5d:cc:dc:82:05,2462,-60,0,false
2313740195334,SWTV2438-5G,d4:5d:64:a0:6c:c4,5500,-78,0,false
2313739507995,DIRECT-51-HP M254 LaserJet,da:9c:67:d2:04:51,2437,-67,0,false
2313739900002,one8sky,88:1f:a1:3a:c1:4e,2462,-45,0,false
2313739577893,LOD2,88:1f:a1:3a:c1:4f,5785,-66,0,false
2313739660040,lemontree,60:38:e0:c4:e8:9a,5805,-54,0,false
2313739660854,kaist_nlp,60:38:e0:c4:e8:9b,5805,-54,0,false
2313739923374,kaist_nlp,60:38:e0:c4:e8:9c,2462,-55,0,false
2313739086427,,fa:8f:ca:5b:61:3d,2412,-87,0,false
2313739437173,zhimi-airpurifier-v3_miio6855,64:09:80:27:68:55,2437,-72,0,false
2313739915495,lemontree,60:38:e0:c4:e8:99,2462,-55,0,false
2313739068002,[cuberef]_E30AJT5503076V,40:ca:63:77:80:5b,2412,-68,0,false
